Num_Acc,inverse_data,week_day,state,severity,weather,location,hrmn,lum,vehicle_type,vehicle_model,engine_size,driver_sex,driver_age,car_age,casualty_severity,casualty_age,casualty_sex,social_class,casualty_type,pedestrian_or_passenger,cause
AID0161,23-10-2023,T,OD,Moderate,Fog,Loc129,1342,Night,Bus,Model45,1662,M,43,19,Fatal,14,M,Middle,Cyclist,Passenger,Road Features
AID0162,16-02-2023,M,DL,Moderate,Storm,Loc169,604,Twilight,Bus,Model3,2455,M,40,5,Fatal,34,F,Upper,Motorcyclist,Passenger,Road Features
AID0163,01-01-2023,S,BR,Moderate,Clear,Loc57,2053,Night,Car,Model30,2694,F,40,17,Serious,18,F,Middle,Car Passenger,Passenger,Road Features
AID0164,29-04-2023,F,ML,Minor,Rain,Loc56,1141,Night,Motorcycle,Model38,1216,F,39,16,Serious,31,M,Upper,Cyclist,Passenger,Road Features
AID0165,27-08-2022,M,HP,Severe,Snow,Loc93,702,Twilight,Car,Model39,2546,F,65,2,Slight,2,M,Middle,Motorcyclist,Pedestrian,Road Features
AID0166,18-08-2022,W,AP,Severe,Snow,Loc142,220,Twilight,Bus,Model36,1978,F,28,12,Slight,38,M,Working,Pedestrian,Passenger,Road Features
AID0167,04-03-2022,T,ML,Moderate,Snow,Loc36,101,Daylight,Motorcycle,Model20,1220,F,62,16,Fatal,50,F,Middle,Cyclist,Passenger,Road Features
AID0168,25-05-2023,M,TR,Severe,Rain,Loc59,841,Night,Bus,Model40,2056,F,64,19,Slight,14,M,Working,Cyclist,Passenger,Road Features
AID0169,06-03-2022,M,AP,Minor,Fog,Loc172,2024,Twilight,Motorcycle,Model50,1930,F,32,11,Serious,41,F,Middle,Cyclist,Passenger,Road Features
AID0170,05-11-2023,T,SK,Minor,Rain,Loc95,1311,Daylight,Motorcycle,Model46,1761,F,32,20,Slight,32,M,Working,Cyclist,Passenger,Road Features
AID0171,10-09-2022,T,HR,Severe,Fog,Loc38,1041,Daylight,Motorcycle,Model2,2724,F,35,19,Slight,65,F,Upper,Motorcyclist,Passenger,Road Features
AID0172,07-10-2023,F,DL,Minor,Clear,Loc51,1541,Daylight,Bus,Model5,1815,F,42,20,Serious,69,M,Middle,Cyclist,Passenger,Road Features
AID0173,11-11-2022,W,ML,Moderate,Snow,Loc121,1053,Twilight,Bus,Model11,2395,F,45,8,Serious,17,M,Working,Motorcyclist,Passenger,Road Features
AID0174,29-06-2023,S,KA,Moderate,Snow,Loc116,756,Twilight,Bus,Model27,2867,F,64,8,Fatal,31,M,Working,Car Passenger,Pedestrian,Road Features
AID0175,25-10-2022,S,BR,Minor,Snow,Loc31,546,Daylight,Car,Model37,1298,M,48,6,Fatal,35,M,Upper,Car Passenger,Pedestrian,Road Features
AID0176,01-11-2022,T,CG,Moderate,Fog,Loc3,2257,Night,Car,Model14,2887,F,28,4,Serious,62,F,Working,Cyclist,Pedestrian,Road Features
AID0177,30-10-2022,F,UK,Moderate,Fog,Loc51,1143,Daylight,Truck,Model25,1769,M,45,3,Fatal,5,F,Upper,Car Passenger,Pedestrian,Road Features
AID0178,23-12-2022,T,PB,Minor,Clear,Loc90,446,Night,Truck,Model12,2199,M,18,1,Slight,79,M,Middle,Pedestrian,Pedestrian,Road Features
AID0179,07-09-2022,F,WB,Moderate,Rain,Loc35,2153,Night,Motorcycle,Model3,1420,M,58,0,Fatal,59,F,Upper,Pedestrian,Passenger,Road Features
AID0180,06-01-2023,T,TN,Minor,Clear,Loc142,1445,Night,Bus,Model5,1027,F,47,15,Slight,69,F,Upper,Car Passenger,Pedestrian,Road Features
AID0181,04-03-2023,S,SK,Moderate,Clear,Loc79,1531,Twilight,Motorcycle,Model2,2747,F,40,2,Serious,35,M,Upper,Car Passenger,Pedestrian,Road Features
AID0182,19-08-2023,F,AR,Minor,Snow,Loc30,2343,Night,Motorcycle,Model46,1733,M,29,19,Fatal,68,F,Middle,Cyclist,Passenger,Road Features
AID0183,12-09-2023,S,GJ,Minor,Rain,Loc169,512,Night,Truck,Model44,2345,M,28,16,Slight,30,F,Working,Pedestrian,Pedestrian,Road Features
AID0184,04-03-2023,S,TR,Moderate,Fog,Loc146,651,Night,Motorcycle,Model50,1780,F,45,15,Serious,42,M,Working,Motorcyclist,Passenger,Road Features
AID0185,09-08-2023,S,UK,Minor,Clear,Loc179,1212,Night,Car,Model1,1944,M,40,11,Fatal,37,F,Middle,Cyclist,Pedestrian,Road Features
AID0186,20-10-2023,T,AR,Minor,Fog,Loc148,703,Daylight,Truck,Model50,1010,M,22,19,Fatal,37,M,Working,Car Passenger,Passenger,Road Features
AID0187,14-11-2022,F,UP,Moderate,Clear,Loc109,36,Twilight,Motorcycle,Model43,830,M,51,1,Fatal,21,M,Middle,Car Passenger,Pedestrian,Road Features
AID0188,04-03-2022,S,CG,Severe,Rain,Loc143,1103,Night,Car,Model34,2496,F,70,14,Serious,79,F,Working,Car Passenger,Pedestrian,Road Features
AID0189,30-01-2023,S,MZ,Minor,Rain,Loc92,222,Twilight,Bus,Model44,2808,M,52,3,Serious,74,M,Working,Pedestrian,Passenger,Road Features
AID0190,10-06-2022,S,MP,Minor,Clear,Loc10,1937,Night,Car,Model44,1325,M,44,5,Fatal,59,M,Working,Motorcyclist,Pedestrian,Road Features
AID0191,07-03-2023,T,MZ,Minor,Rain,Loc146,1223,Twilight,Car,Model17,1307,M,54,10,Slight,31,M,Working,Motorcyclist,Pedestrian,Road Features
AID0192,03-05-2022,T,TR,Minor,Fog,Loc136,308,Night,Car,Model20,2069,M,46,7,Serious,22,F,Middle,Motorcyclist,Pedestrian,Road Features
AID0193,07-09-2023,W,AP,Severe,Fog,Loc69,333,Daylight,Motorcycle,Model36,1627,M,61,17,Fatal,42,M,Working,Motorcyclist,Pedestrian,Road Features
AID0194,31-12-2023,T,MH,Moderate,Clear,Loc70,2220,Night,Bus,Model46,2580,F,65,12,Fatal,69,M,Working,Pedestrian,Passenger,Road Features
AID0195,05-02-2022,T,DL,Severe,Snow,Loc130,1221,Daylight,Bus,Model38,941,M,47,2,Slight,55,M,Middle,Pedestrian,Passenger,Road Features
AID0196,27-06-2022,M,BR,Moderate,Clear,Loc105,644,Daylight,Truck,Model46,1457,M,67,10,Serious,58,M,Working,Car Passenger,Passenger,Road Features
AID0197,08-07-2023,T,GJ,Minor,Clear,Loc84,2224,Night,Car,Model24,1716,F,20,0,Slight,30,F,Upper,Motorcyclist,Pedestrian,Road Features
AID0198,17-02-2022,S,MH,Severe,Rain,Loc156,1355,Night,Truck,Model5,2515,M,67,0,Slight,66,F,Upper,Cyclist,Pedestrian,Road Features
AID0199,08-04-2022,T,WB,Minor,Clear,Loc5,1818,Daylight,Motorcycle,Model24,935,F,67,7,Fatal,40,F,Upper,Pedestrian,Pedestrian,Road Features
AID0200,27-02-2023,F,MH,Minor,Clear,Loc5,2128,Night,Motorcycle,Model28,2569,M,20,14,Serious,27,M,Upper,Motorcyclist,Passenger,Road Features
AID0201,13-10-2022,M,AR,Minor,Clear,Loc153,1428,Daylight,Car,Model8,2400,F,26,13,Slight,36,F,Middle,Pedestrian,Passenger,Road Features
AID0202,25-05-2023,F,TR,Minor,Clear,Loc63,2007,Twilight,Motorcycle,Model38,1925,F,55,16,Fatal,7,M,Working,Cyclist,Pedestrian,Road Features
AID0203,25-11-2023,T,AR,Moderate,Snow,Loc172,1654,Night,Truck,Model25,2039,F,57,4,Fatal,59,M,Working,Motorcyclist,Passenger,Road Features
AID0204,29-08-2023,W,OD,Minor,Snow,Loc77,1731,Night,Truck,Model3,1217,F,36,10,Serious,74,F,Upper,Cyclist,Passenger,Road Features
AID0205,17-08-2022,F,TN,Severe,Clear,Loc114,516,Night,Truck,Model5,2780,F,69,15,Fatal,12,M,Upper,Cyclist,Passenger,Road Features
AID0206,17-08-2022,S,HR,Severe,Snow,Loc160,318,Daylight,Bus,Model44,937,M,42,11,Slight,62,M,Upper,Cyclist,Pedestrian,Road Features
AID0207,20-12-2022,S,JH,Moderate,Snow,Loc151,1640,Twilight,Truck,Model19,804,M,20,7,Serious,71,M,Working,Pedestrian,Passenger,Road Features
AID0208,25-07-2022,T,AS,Minor,Fog,Loc51,2229,Night,Bus,Model49,2020,M,24,5,Serious,10,M,Middle,Pedestrian,Passenger,Road Features
AID0209,08-07-2023,S,AS,Minor,Rain,Loc36,815,Twilight,Car,Model12,2958,M,35,2,Slight,74,M,Working,Cyclist,Passenger,Road Features
AID0210,05-12-2023,M,KA,Moderate,Rain,Loc110,1206,Daylight,Bus,Model16,2015,M,63,10,Slight,8,M,Upper,Motorcyclist,Passenger,Road Features
AID0211,12-11-2023,M,GA,Moderate,Clear,Loc74,2027,Daylight,Car,Model40,1149,M,21,11,Fatal,51,F,Middle,Cyclist,Pedestrian,Road Features
AID0212,11-04-2023,S,NL,Minor,Rain,Loc22,1627,Daylight,Motorcycle,Model5,1667,F,21,13,Fatal,41,F,Working,Cyclist,Pedestrian,Road Features
AID0213,10-08-2023,T,MH,Minor,Clear,Loc195,1010,Night,Truck,Model27,1423,F,43,20,Fatal,35,F,Upper,Car Passenger,Pedestrian,Road Features
AID0214,16-10-2023,F,DL,Moderate,Clear,Loc31,2026,Twilight,Truck,Model7,2511,M,19,14,Serious,48,F,Working,Cyclist,Passenger,Road Features
AID0215,09-06-2023,F,HP,Severe,Clear,Loc69,216,Daylight,Car,Model10,919,F,58,20,Serious,12,F,Working,Motorcyclist,Pedestrian,Road Features
AID0216,03-05-2023,S,PB,Minor,Rain,Loc93,1928,Daylight,Car,Model12,1000,M,52,18,Fatal,52,M,Upper,Pedestrian,Passenger,Road Features
AID0217,06-08-2023,S,GJ,Moderate,Storm,Loc184,1931,Daylight,Motorcycle,Model43,1149,F,42,10,Slight,23,M,Working,Pedestrian,Passenger,Road Features
AID0218,09-05-2023,T,KL,Minor,Storm,Loc37,1447,Daylight,Bus,Model14,2299,F,63,17,Serious,59,M,Upper,Cyclist,Passenger,Road Features
AID0219,11-10-2022,W,AS,Minor,Fog,Loc143,259,Daylight,Truck,Model32,2459,M,61,4,Serious,65,M,Working,Motorcyclist,Passenger,Road Features
AID0220,16-09-2022,T,MP,Severe,Fog,Loc144,1634,Daylight,Car,Model7,1883,M,69,8,Serious,72,M,Upper,Motorcyclist,Passenger,Road Features
AID0221,14-01-2022,S,NL,Severe,Clear,Loc82,440,Daylight,Motorcycle,Model47,970,M,61,17,Serious,22,M,Working,Car Passenger,Passenger,Road Features
AID0222,27-03-2023,W,GJ,Moderate,Storm,Loc200,410,Daylight,Car,Model12,824,M,70,16,Serious,17,M,Upper,Car Passenger,Pedestrian,Road Features
AID0223,28-03-2023,F,GA,Moderate,Fog,Loc86,1937,Twilight,Truck,Model23,1592,M,55,10,Serious,54,F,Upper,Motorcyclist,Pedestrian,Road Features
AID0224,04-11-2022,T,HP,Severe,Storm,Loc81,647,Twilight,Motorcycle,Model46,1707,F,22,7,Serious,43,M,Middle,Pedestrian,Pedestrian,Road Features
AID0225,26-08-2023,T,JH,Moderate,Rain,Loc137,201,Twilight,Motorcycle,Model22,2434,M,19,6,Slight,17,F,Working,Motorcyclist,Pedestrian,Road Features
AID0226,23-11-2023,M,AR,Severe,Storm,Loc149,909,Daylight,Motorcycle,Model23,1242,M,31,19,Serious,13,M,Middle,Motorcyclist,Pedestrian,Road Features
AID0227,16-07-2023,S,MN,Moderate,Storm,Loc187,221,Twilight,Car,Model19,800,F,70,12,Slight,71,M,Working,Pedestrian,Pedestrian,Road Features
AID0228,27-03-2022,W,TN,Minor,Clear,Loc6,617,Daylight,Bus,Model49,1251,M,55,5,Slight,40,F,Upper,Pedestrian,Pedestrian,Road Features
AID0229,26-04-2022,M,AS,Severe,Storm,Loc23,943,Daylight,Bus,Model39,2924,M,68,20,Serious,56,M,Working,Cyclist,Pedestrian,Road Features
AID0230,09-03-2022,S,HP,Severe,Snow,Loc51,1136,Daylight,Truck,Model1,1439,M,38,13,Serious,7,F,Upper,Cyclist,Passenger,Road Features
AID0231,04-05-2022,W,GJ,Severe,Rain,Loc106,1124,Daylight,Motorcycle,Model33,1151,F,21,16,Serious,4,F,Working,Pedestrian,Passenger,Road Features
AID0232,07-10-2022,F,HR,Severe,Rain,Loc171,1342,Night,Bus,Model31,1416,M,30,18,Serious,14,M,Upper,Cyclist,Pedestrian,Road Features
AID0233,26-08-2023,W,HR,Minor,Fog,Loc24,139,Night,Motorcycle,Model34,2221,M,47,13,Slight,6,M,Middle,Cyclist,Pedestrian,Road Features
AID0234,11-03-2022,S,AS,Moderate,Snow,Loc68,1117,Night,Car,Model39,1059,F,42,5,Slight,51,F,Middle,Car Passenger,Passenger,Road Features
AID0235,20-11-2022,S,AS,Moderate,Clear,Loc136,2014,Night,Car,Model7,2647,M,30,6,Slight,73,M,Middle,Motorcyclist,Passenger,Road Features
AID0236,12-11-2023,W,DL,Moderate,Snow,Loc14,359,Night,Motorcycle,Model29,2033,F,64,10,Fatal,51,F,Upper,Cyclist,Pedestrian,Road Features
AID0237,13-01-2023,F,TR,Moderate,Snow,Loc136,1118,Twilight,Truck,Model6,1703,M,21,7,Slight,80,F,Working,Cyclist,Pedestrian,Road Features
AID0238,16-04-2023,F,SK,Severe,Snow,Loc30,1239,Twilight,Motorcycle,Model30,2149,M,63,13,Slight,9,F,Middle,Pedestrian,Passenger,Road Features
AID0239,09-08-2022,T,MP,Moderate,Storm,Loc41,427,Twilight,Motorcycle,Model45,1869,F,22,17,Serious,50,M,Working,Car Passenger,Pedestrian,Road Features
AID0240,16-07-2022,T,WB,Moderate,Snow,Loc172,31,Twilight,Motorcycle,Model18,2958,F,29,4,Slight,5,F,Working,Pedestrian,Passenger,Road Features
AID0241,16-03-2022,F,KL,Moderate,Rain,Loc123,512,Twilight,Motorcycle,Model8,1983,F,20,1,Slight,65,F,Upper,Pedestrian,Passenger,Road Features
AID0242,10-08-2023,S,MH,Minor,Snow,Loc45,1924,Daylight,Truck,Model22,2124,M,23,18,Fatal,61,F,Middle,Cyclist,Pedestrian,Road Features
AID0243,14-09-2023,M,KA,Minor,Fog,Loc32,213,Night,Truck,Model8,1782,M,60,7,Slight,70,F,Middle,Motorcyclist,Pedestrian,Road Features
AID0244,25-06-2023,F,RJ,Minor,Snow,Loc175,1228,Daylight,Motorcycle,Model3,2543,M,34,17,Slight,71,M,Upper,Pedestrian,Pedestrian,Road Features
AID0245,14-04-2022,T,OD,Minor,Fog,Loc137,1642,Daylight,Bus,Model12,2115,M,54,7,Fatal,40,F,Upper,Car Passenger,Pedestrian,Road Features
AID0246,13-06-2022,M,BR,Moderate,Storm,Loc184,2344,Daylight,Truck,Model47,2042,F,54,18,Serious,71,F,Upper,Car Passenger,Pedestrian,Road Features
AID0247,02-06-2023,W,RJ,Minor,Fog,Loc199,441,Twilight,Truck,Model39,2210,F,38,8,Slight,7,M,Upper,Pedestrian,Passenger,Road Features
AID0248,30-07-2023,S,UK,Severe,Fog,Loc38,1302,Twilight,Car,Model40,1404,F,37,11,Serious,20,M,Upper,Car Passenger,Pedestrian,Road Features
AID0249,03-08-2022,S,TR,Moderate,Rain,Loc24,1054,Twilight,Bus,Model47,973,M,53,16,Serious,45,M,Middle,Cyclist,Pedestrian,Road Features
AID0250,25-06-2022,S,MH,Minor,Snow,Loc23,1915,Daylight,Bus,Model19,2662,M,27,13,Fatal,43,F,Upper,Cyclist,Pedestrian,Road Features
AID0251,02-07-2023,M,TN,Minor,Rain,Loc152,455,Daylight,Truck,Model19,2112,M,40,16,Serious,67,M,Working,Car Passenger,Passenger,Road Features
AID0252,22-01-2023,T,MN,Minor,Clear,Loc15,1931,Twilight,Car,Model21,2616,F,64,6,Serious,7,F,Middle,Pedestrian,Passenger,Road Features
AID0253,01-08-2023,F,DL,Severe,Storm,Loc56,903,Daylight,Motorcycle,Model21,1968,M,56,7,Serious,7,M,Working,Pedestrian,Passenger,Road Features
AID0254,08-10-2023,M,TR,Moderate,Clear,Loc108,1854,Night,Car,Model38,1235,M,45,3,Serious,21,M,Upper,Pedestrian,Passenger,Road Features
AID0255,09-10-2023,W,HP,Severe,Rain,Loc81,1310,Daylight,Car,Model38,2193,M,32,13,Serious,11,M,Middle,Motorcyclist,Passenger,Road Features
AID0256,12-09-2022,W,PB,Moderate,Rain,Loc78,651,Daylight,Car,Model6,2726,M,52,8,Serious,78,M,Working,Cyclist,Passenger,Road Features
AID0257,24-09-2023,T,AS,Severe,Storm,Loc153,720,Daylight,Bus,Model27,885,M,36,10,Fatal,71,F,Middle,Cyclist,Passenger,Road Features
AID0258,16-10-2022,F,CG,Minor,Snow,Loc111,1303,Daylight,Truck,Model29,2964,M,54,6,Fatal,60,F,Upper,Car Passenger,Pedestrian,Road Features
AID0259,17-11-2023,M,TR,Severe,Rain,Loc24,1834,Twilight,Bus,Model11,2502,F,52,17,Slight,14,F,Middle,Car Passenger,Pedestrian,Road Features
AID0260,29-11-2023,T,GA,Minor,Storm,Loc79,1455,Night,Truck,Model17,1076,F,49,14,Fatal,32,M,Working,Cyclist,Passenger,Road Features
AID0261,01-03-2022,T,MN,Severe,Clear,Loc114,2227,Night,Car,Model24,2287,F,26,20,Serious,48,F,Middle,Motorcyclist,Pedestrian,Road Features
AID0262,16-04-2022,F,MH,Minor,Rain,Loc122,1503,Night,Car,Model32,972,F,51,11,Slight,63,M,Middle,Car Passenger,Passenger,Road Features
AID0263,25-04-2022,S,KL,Severe,Rain,Loc149,1612,Daylight,Motorcycle,Model11,2450,M,70,14,Slight,78,M,Middle,Motorcyclist,Passenger,Road Features
AID0264,02-08-2023,F,CG,Severe,Storm,Loc99,1124,Daylight,Truck,Model29,1224,F,66,12,Slight,6,F,Working,Cyclist,Passenger,Road Features
AID0265,13-10-2022,M,SK,Moderate,Clear,Loc51,2226,Daylight,Car,Model27,1642,M,30,20,Fatal,40,M,Middle,Car Passenger,Passenger,Road Features
AID0266,13-11-2022,W,NL,Minor,Snow,Loc135,1616,Twilight,Car,Model7,1035,M,59,16,Fatal,50,M,Working,Car Passenger,Passenger,Road Features
AID0267,03-05-2023,T,MN,Severe,Snow,Loc106,1303,Daylight,Motorcycle,Model2,1261,M,31,13,Serious,31,M,Upper,Car Passenger,Pedestrian,Road Features
AID0268,15-12-2023,M,KA,Moderate,Fog,Loc163,2213,Daylight,Car,Model5,1919,F,21,7,Serious,37,F,Upper,Cyclist,Pedestrian,Road Features
AID0269,03-07-2022,W,KL,Minor,Rain,Loc164,1228,Daylight,Motorcycle,Model14,1938,F,38,11,Slight,56,F,Middle,Car Passenger,Passenger,Road Features
AID0270,31-08-2023,W,AS,Moderate,Fog,Loc62,1331,Twilight,Truck,Model24,2762,F,27,0,Fatal,65,M,Working,Pedestrian,Passenger,Road Features
AID0271,25-11-2023,S,MH,Moderate,Fog,Loc175,2036,Daylight,Car,Model31,2789,M,41,2,Serious,12,F,Middle,Cyclist,Passenger,Road Features
AID0272,31-01-2022,M,SK,Severe,Storm,Loc132,839,Twilight,Car,Model48,1901,F,64,12,Serious,61,M,Middle,Motorcyclist,Pedestrian,Road Features
AID0273,16-11-2022,S,JH,Severe,Snow,Loc114,2157,Night,Bus,Model42,2260,F,22,15,Slight,15,F,Working,Car Passenger,Pedestrian,Road Features
AID0274,29-04-2023,T,OD,Minor,Clear,Loc48,2350,Night,Car,Model49,1837,M,55,6,Fatal,49,F,Upper,Car Passenger,Pedestrian,Road Features
AID0275,06-12-2023,S,AS,Moderate,Fog,Loc17,1941,Night,Truck,Model19,2667,F,58,9,Slight,40,M,Working,Pedestrian,Pedestrian,Road Features
AID0276,12-06-2023,S,WB,Minor,Storm,Loc161,2318,Night,Truck,Model14,2592,F,38,12,Serious,27,F,Middle,Cyclist,Passenger,Road Features
AID0277,19-05-2023,M,RJ,Minor,Clear,Loc8,418,Twilight,Truck,Model47,2772,M,28,11,Serious,36,F,Upper,Car Passenger,Pedestrian,Road Features
AID0278,30-07-2022,S,AR,Moderate,Snow,Loc28,135,Daylight,Motorcycle,Model21,1520,M,23,8,Fatal,1,F,Middle,Car Passenger,Passenger,Road Features
AID0279,13-02-2023,T,RJ,Severe,Storm,Loc13,1500,Twilight,Truck,Model17,2778,F,50,4,Serious,39,M,Middle,Car Passenger,Passenger,Road Features
AID0280,06-06-2022,S,AP,Severe,Fog,Loc54,2023,Daylight,Bus,Model45,1674,F,26,10,Fatal,37,M,Upper,Cyclist,Pedestrian,Road Features
AID0281,11-08-2022,F,SK,Minor,Clear,Loc178,24,Daylight,Bus,Model34,2924,M,23,19,Slight,75,M,Upper,Car Passenger,Pedestrian,Road Features
AID0282,07-12-2023,S,HP,Moderate,Fog,Loc28,524,Night,Truck,Model19,1562,M,27,14,Serious,69,M,Middle,Cyclist,Pedestrian,Road Features
AID0283,26-10-2022,S,RJ,Moderate,Fog,Loc94,808,Night,Car,Model3,2906,M,53,0,Slight,39,M,Upper,Motorcyclist,Pedestrian,Road Features
AID0284,13-06-2022,F,TR,Minor,Storm,Loc195,214,Twilight,Car,Model30,1547,F,24,14,Serious,68,M,Middle,Motorcyclist,Pedestrian,Road Features
AID0285,19-01-2023,M,JH,Severe,Fog,Loc123,1716,Daylight,Motorcycle,Model27,2063,M,23,10,Fatal,24,F,Working,Motorcyclist,Pedestrian,Road Features
AID0286,11-01-2023,W,AS,Minor,Rain,Loc66,1101,Daylight,Bus,Model16,2603,F,45,7,Slight,44,F,Upper,Pedestrian,Pedestrian,Road Features
AID0287,08-05-2023,F,SK,Moderate,Rain,Loc122,938,Twilight,Bus,Model24,2847,M,36,2,Fatal,62,M,Upper,Motorcyclist,Pedestrian,Road Features
AID0288,25-03-2022,T,HR,Severe,Storm,Loc70,1840,Night,Motorcycle,Model1,2312,M,68,1,Fatal,27,M,Middle,Car Passenger,Passenger,Road Features
AID0289,31-07-2022,W,NL,Minor,Snow,Loc12,1433,Night,Truck,Model21,2504,F,61,11,Slight,10,M,Middle,Car Passenger,Passenger,Road Features
AID0290,10-10-2022,F,ML,Moderate,Snow,Loc160,1104,Twilight,Bus,Model30,2656,F,23,13,Slight,34,F,Middle,Motorcyclist,Passenger,Road Features
AID0291,25-03-2023,T,TN,Severe,Fog,Loc116,10,Daylight,Truck,Model49,2372,M,24,19,Fatal,76,F,Working,Motorcyclist,Passenger,Road Features
AID0292,25-11-2023,M,JH,Minor,Snow,Loc60,1332,Daylight,Bus,Model11,2229,F,47,0,Serious,80,M,Upper,Car Passenger,Passenger,Road Features
AID0293,01-03-2023,T,OD,Moderate,Storm,Loc79,2123,Night,Motorcycle,Model42,982,M,60,17,Fatal,63,F,Working,Pedestrian,Passenger,Road Features
AID0294,27-03-2022,F,MN,Severe,Fog,Loc124,1052,Night,Bus,Model8,2758,M,30,3,Slight,42,M,Middle,Motorcyclist,Pedestrian,Road Features
AID0295,02-12-2023,T,AS,Severe,Clear,Loc184,1013,Night,Motorcycle,Model15,2702,M,22,11,Slight,15,F,Working,Pedestrian,Passenger,Road Features
AID0296,23-06-2022,M,MP,Severe,Clear,Loc69,1612,Twilight,Bus,Model8,2486,F,58,6,Slight,25,F,Middle,Car Passenger,Passenger,Road Features
AID0297,22-12-2022,F,GJ,Severe,Rain,Loc46,1505,Night,Car,Model42,1510,M,57,5,Fatal,74,M,Working,Pedestrian,Pedestrian,Road Features
AID0298,28-04-2022,S,MN,Minor,Fog,Loc195,1257,Night,Truck,Model40,2888,F,50,5,Slight,19,F,Middle,Motorcyclist,Passenger,Road Features
AID0299,25-04-2022,F,OD,Severe,Rain,Loc174,1339,Daylight,Motorcycle,Model43,969,M,22,4,Serious,64,F,Upper,Motorcyclist,Pedestrian,Road Features
AID0300,11-10-2023,T,SK,Minor,Clear,Loc60,1954,Night,Motorcycle,Model41,2430,M,18,19,Serious,3,M,Working,Motorcyclist,Passenger,Road Features
AID0301,24-12-2023,T,TR,Minor,Snow,Loc105,807,Night,Motorcycle,Model31,1704,M,38,10,Fatal,74,F,Middle,Car Passenger,Passenger,Road Features
AID0302,22-01-2023,T,MN,Moderate,Snow,Loc69,1409,Twilight,Truck,Model11,1708,F,23,14,Slight,46,F,Working,Cyclist,Passenger,Road Features
AID0303,30-03-2022,T,GA,Moderate,Rain,Loc27,11,Twilight,Car,Model34,2921,F,47,16,Serious,64,F,Upper,Pedestrian,Passenger,Road Features
AID0304,04-11-2023,F,BR,Moderate,Fog,Loc176,2011,Night,Truck,Model9,2772,F,31,16,Serious,15,F,Working,Cyclist,Pedestrian,Road Features
AID0305,24-05-2023,T,MP,Minor,Rain,Loc4,1345,Daylight,Car,Model7,1049,F,70,10,Serious,22,M,Working,Car Passenger,Passenger,Road Features
AID0306,04-03-2023,F,BR,Minor,Clear,Loc128,2157,Daylight,Truck,Model45,2597,M,59,2,Slight,21,M,Middle,Cyclist,Passenger,Road Features
AID0307,06-07-2023,T,UP,Severe,Fog,Loc91,558,Night,Bus,Model36,2484,F,21,2,Slight,72,F,Upper,Motorcyclist,Pedestrian,Road Features
AID0308,11-05-2022,S,UK,Severe,Snow,Loc77,1656,Night,Bus,Model32,1729,F,62,14,Fatal,16,F,Middle,Pedestrian,Passenger,Road Features
AID0309,16-12-2023,S,JH,Severe,Storm,Loc63,304,Daylight,Motorcycle,Model10,840,F,20,4,Slight,69,F,Working,Pedestrian,Pedestrian,Road Features
AID0310,14-05-2022,S,UK,Minor,Rain,Loc138,738,Daylight,Car,Model47,2756,M,25,7,Slight,56,M,Working,Cyclist,Passenger,Road Features
AID0311,21-05-2023,T,UK,Severe,Clear,Loc44,1059,Daylight,Bus,Model31,2612,F,62,0,Fatal,12,F,Upper,Cyclist,Passenger,Road Features
AID0312,19-02-2023,S,SK,Minor,Rain,Loc164,1146,Night,Car,Model50,2625,F,56,8,Slight,18,F,Upper,Pedestrian,Pedestrian,Road Features
AID0313,04-04-2023,T,DL,Severe,Snow,Loc183,1231,Night,Bus,Model4,1744,F,56,17,Serious,45,F,Upper,Pedestrian,Pedestrian,Road Features
AID0314,27-03-2022,T,CG,Moderate,Rain,Loc193,1446,Daylight,Motorcycle,Model22,2233,F,68,7,Fatal,75,M,Middle,Motorcyclist,Passenger,Road Features
AID0315,09-03-2023,S,MH,Moderate,Storm,Loc110,947,Twilight,Car,Model47,2164,F,50,17,Serious,44,F,Upper,Pedestrian,Passenger,Road Features
AID0316,21-10-2022,W,AR,Moderate,Storm,Loc34,509,Night,Truck,Model50,1697,M,62,17,Fatal,50,M,Working,Car Passenger,Passenger,Road Features
AID0317,11-12-2023,S,GA,Moderate,Storm,Loc105,1125,Night,Truck,Model40,1836,M,56,18,Serious,78,M,Working,Motorcyclist,Pedestrian,Road Features
AID0318,19-09-2023,F,CG,Minor,Clear,Loc127,500,Daylight,Motorcycle,Model6,2794,F,19,10,Slight,45,F,Upper,Car Passenger,Pedestrian,Road Features
AID0319,10-11-2023,S,HR,Minor,Storm,Loc27,337,Night,Truck,Model29,1355,M,64,1,Serious,31,F,Working,Motorcyclist,Passenger,Road Features
AID0320,09-06-2022,T,MZ,Moderate,Rain,Loc146,303,Twilight,Bus,Model11,918,M,36,0,Slight,43,M,Working,Car Passenger,Passenger,Road Features
AID0321,12-03-2022,T,MN,Minor,Snow,Loc166,1723,Daylight,Car,Model34,2983,F,59,9,Fatal,79,M,Middle,Car Passenger,Pedestrian,Road Features
AID0322,06-05-2022,S,TN,Severe,Snow,Loc67,2219,Daylight,Bus,Model14,2869,F,21,13,Fatal,77,F,Upper,Cyclist,Pedestrian,Road Features
AID0323,21-09-2023,F,JH,Severe,Fog,Loc7,249,Daylight,Motorcycle,Model40,1421,F,60,19,Serious,68,M,Middle,Car Passenger,Passenger,Road Features
